stock_item_name,transcription,attribution,action,db_price_per_piece,pdf_price_per_piece,v2_price_per_piece,db_list_rate,v2_list_rate,page_no,thread_form,size,grade,pack_qty,confidence,reason
"HSS TAP 1"" UNC BOT TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,UNF/UNC,"1""",Standard,1,verified,
"HSS TAP 1"" UNC SEC TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,UNF/UNC,"1""",Standard,1,review,
"HSS TAP 1"" UNC SERIAL FORM TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,3622.00,3622,,3622.00,,3,UNF/UNC,"1""",Standard,1,review,item absent from this project's stock_items
"HSS TAP 1"" UNC SET TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,10866.00,10866.00,3,UNF/UNC,"1""",Standard,3,verified,
"HSS TAP 1"" UNC TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,UNF/UNC,"1""",Standard,1,review,
"HSS TAP 1"" UNC TPR TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,UNF/UNC,"1""",Standard,1,verified,
"HSS TAP 1"" UNF BOT TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,UNF/UNC,"1""",Standard,1,review,
"HSS TAP 1"" UNF SEC TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,UNF/UNC,"1""",Standard,1,verified,
"HSS TAP 1"" UNF TPR TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,3622.00,3622.00,3,UNF/UNC,"1""",Standard,1,review,
"HSS TAP 1-1/2"" BSP BOT TOTEM",OK,OK,KEEP,9833.00,9833,9833.00,9833.00,9833.00,3,BSP,"1.1/2""",Standard,1,verified,
"HSS TAP 1-1/2"" BSP PAIR TOTEM",OK,OK,KEEP,9833.00,9833,9833.00,19666.00,19666.00,3,BSP,"1.1/2""",Standard,2,verified,
"HSS TAP 1-1/2"" BSP TPR TOTEM",OK,OK,KEEP,9833.00,9833,9833.00,9833.00,9833.00,3,BSP,"1.1/2""",Standard,1,verified,
"HSS TAP 1-1/2"" BSPT BOT TOTEM",OK,OK,KEEP,12303.00,12303,12303.00,12303.00,12303.00,3,BSPT,"1.1/2""",Standard,1,review,
"HSS TAP 1-1/2"" BSPT GOLD TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,13890.00,13890,,13890.00,,8,BSPT,"1.1/2""",STD GOLD,1,review,item absent from this project's stock_items
"HSS TAP 1-1/2"" BSPT PAIR TOTEM",OK,OK,KEEP,12303.00,12303,12303.00,24606.00,24606.00,3,BSPT,"1.1/2""",Standard,2,verified,
"HSS TAP 1-1/2"" BSW BOT TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,9089.00,9089.00,3,BSW/BSF,"1.1/2""",Standard,1,review,
"HSS TAP 1-1/2"" BSW SEC TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,9089.00,9089.00,3,BSW/BSF,"1.1/2""",Standard,1,verified,
"HSS TAP 1-1/2"" BSW SET TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,27267.00,27267.00,3,BSW/BSF,"1.1/2""",Standard,3,review,
"HSS TAP 1-1/2"" BSW TPR TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,9089.00,9089.00,3,BSW/BSF,"1.1/2""",Standard,1,review,
"HSS TAP 1-1/2"" NPT BOT TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,12760.00,12760,,12760.00,,3,NPT,"1.1/2""",Standard,1,verified,item absent from this project's stock_items
"HSS TAP 1-1/2"" NPT PAIR TOTEM",OK,OK,KEEP,12760.00,12760,12760.00,25520.00,25520.00,3,NPT,"1.1/2""",Standard,2,verified,
"HSS TAP 1-1/2"" NPT TPR TOTEM",OK,OK,KEEP,12760.00,12760,12760.00,12760.00,12760.00,3,NPT,"1.1/2""",Standard,1,review,
"HSS TAP 1-1/2"" UNC BOT TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,9089.00,9089,,9089.00,,3,UNF/UNC,"1.1/2""",Standard,1,verified,item absent from this project's stock_items
"HSS TAP 1-1/2"" UNC SBF2 LHRH OAL 180 TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,9089.00,9089,,9089.00,,3,UNF/UNC,"1.1/2""",Standard,1,review,"Silver Cut grade SBF2: p12-28, not matched yet"
"HSS TAP 1-1/2"" UNC SBF2 RHLH OAL 180 TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,9089.00,9089,,9089.00,,3,UNF/UNC,"1.1/2""",Standard,1,review,"Silver Cut grade SBF2: p12-28, not matched yet"
"HSS TAP 1-1/2"" UNC SEC TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,9089.00,9089.00,3,UNF/UNC,"1.1/2""",Standard,1,verified,
"HSS TAP 1-1/2"" UNC SET TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,27267.00,27267.00,3,UNF/UNC,"1.1/2""",Standard,3,review,
"HSS TAP 1-1/2"" UNC TPR TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,9089.00,9089.00,3,UNF/UNC,"1.1/2""",Standard,1,verified,
"HSS TAP 1-1/2"" UNF BOT TOTEM",OK,OK,KEEP,9089.00,9089,9089.00,9089.00,9089.00,3,UNF/UNC,"1.1/2""",Standard,1,review,
"HSS TAP 1-1/4"" BSP BOT TOTEM",OK,OK,KEEP,7884.00,7884,7884.00,7884.00,7884.00,3,BSP,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" BSP PAIR TOTEM",OK,OK,KEEP,7884.00,7884,7884.00,15768.00,15768.00,3,BSP,"1.1/4""",Standard,2,verified,
"HSS TAP 1-1/4"" BSP TPR TOTEM",OK,OK,KEEP,7884.00,7884,7884.00,7884.00,7884.00,3,BSP,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" BSW BOT TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,5865.00,5865.00,3,BSW/BSF,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" BSW SEC TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,5865.00,5865.00,3,BSW/BSF,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" BSW SET TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,17595.00,17595.00,3,BSW/BSF,"1.1/4""",Standard,3,verified,
"HSS TAP 1-1/4"" BSW TPR TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,5865.00,5865.00,3,BSW/BSF,"1.1/4""",Standard,1,review,
"HSS TAP 1-1/4"" NPT BOT TOTEM",OK,OK,KEEP,10287.00,10287,10287.00,10287.00,10287.00,3,NPT,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" NPT PAIR TOTEM",OK,OK,KEEP,10287.00,10287,10287.00,20574.00,20574.00,3,NPT,"1.1/4""",Standard,2,review,
"HSS TAP 1-1/4"" NPT TPR TOTEM",OK,OK,KEEP,10287.00,10287,10287.00,10287.00,10287.00,3,NPT,"1.1/4""",Standard,1,review,
"HSS TAP 1-1/4"" UNC BOT TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,5865.00,5865.00,3,UNF/UNC,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" UNC SEC TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,5865.00,5865.00,3,UNF/UNC,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" UNC SET TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,17595.00,17595.00,3,UNF/UNC,"1.1/4""",Standard,3,review,
"HSS TAP 1-1/4"" UNC TPR TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,5865.00,5865.00,3,UNF/UNC,"1.1/4""",Standard,1,verified,
"HSS TAP 1-1/4"" UNF BOT TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,5865.00,5865.00,3,UNF/UNC,"1.1/4""",Standard,1,review,
"HSS TAP 1-1/8"" BSW BOT TOTEM",OK,OK,KEEP,4866.00,4866,4866.00,4866.00,4866.00,3,BSW/BSF,"1.1/8""",Standard,1,review,
"HSS TAP 1-1/8"" BSW SET TOTEM",OK,OK,KEEP,4866.00,4866,4866.00,14598.00,14598.00,3,BSW/BSF,"1.1/8""",Standard,3,verified,
"HSS TAP 1-1/8"" UNC BOT TOTEM",OK,OK,KEEP,4866.00,4866,4866.00,4866.00,4866.00,3,UNF/UNC,"1.1/8""",Standard,1,verified,
"HSS TAP 1-1/8"" UNC SEC TOTEM",OK,OK,KEEP,4866.00,4866,4866.00,4866.00,4866.00,3,UNF/UNC,"1.1/8""",Standard,1,review,
"HSS TAP 1-1/8"" UNC TPR TOTEM",OK,OK,KEEP,4866.00,4866,4866.00,4866.00,4866.00,3,UNF/UNC,"1.1/8""",Standard,1,verified,
HSS TAP 1-3/4 UNC BOT TOTEM,OK,OK,KEEP,12861.00,12861,12861.00,12861.00,12861.00,3,UNF/UNC,"1.3/4""",Standard,1,review,
"HSS TAP 1-3/4"" BSW BOT TOTEM",OK,OK,KEEP,12861.00,12861,12861.00,12861.00,12861.00,3,BSW/BSF,"1.3/4""",Standard,1,review,
"HSS TAP 1-3/4"" BSW SET TOTEM",OK,OK,KEEP,12861.00,12861,12861.00,38583.00,38583.00,3,BSW/BSF,"1.3/4""",Standard,3,review,
"HSS TAP 1-3/4"" BSW TPR TOTEM",OK,OK,KEEP,12861.00,12861,12861.00,12861.00,12861.00,3,BSW/BSF,"1.3/4""",Standard,1,review,
"HSS TAP 1-3/4"" UNC TPR TOTEM",OK,OK,KEEP,12861.00,12861,12861.00,12861.00,12861.00,3,UNF/UNC,"1.3/4""",Standard,1,review,
"HSS TAP 1-3/4"" UNF BOT TOTEM",OK,OK,KEEP,12861.00,12861,12861.00,12861.00,12861.00,3,UNF/UNC,"1.3/4""",Standard,1,verified,
HSS TAP 1-3/8 BSW SET TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,7563.00,7563,,22689.00,,3,BSW/BSF,"1.3/8""",Standard,3,review,item absent from this project's stock_items
"HSS TAP 1-3/8"" UNC SET TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,7563.00,7563,,22689.00,,3,UNF/UNC,"1.3/8""",Standard,3,review,item absent from this project's stock_items
"HSS TAP 1-5/8"" UNF BOT TOTEM",OK,OK,KEEP,10659.00,10659,10659.00,10659.00,10659.00,3,UNF/UNC,"1.5/8""",Standard,1,review,
HSS TAP 1.4 X .35 BOT TOTEM,OK,OK,KEEP,897.00,897,897.00,897.00,897.00,4,Metric Coarse,1.4 X 0.35,Standard,1,verified,
HSS TAP 1.4 X .35 SET TOTEM,OK,OK,KEEP,897.00,897,897.00,2691.00,2691.00,4,Metric Coarse,1.4 X 0.35,Standard,3,verified,
HSS TAP 1.6 X .35 BOT TOTEM,OK,OK,KEEP,897.00,897,897.00,897.00,897.00,4,Metric Coarse,1.6 X 0.35,Standard,1,review,
HSS TAP 1.6 X .35 SET TOTEM,OK,OK,KEEP,897.00,897,897.00,2691.00,2691.00,4,Metric Coarse,1.6 X 0.35,Standard,3,verified,
HSS TAP 1.8 X .35 BOT TOTEM,OK,OK,KEEP,897.00,897,897.00,897.00,897.00,4,Metric Coarse,1.8 X 0.35,Standard,1,review,
HSS TAP 1.8 X .35 SET TOTEM,OK,OK,KEEP,897.00,897,897.00,2691.00,2691.00,4,Metric Coarse,1.8 X 0.35,Standard,3,review,
HSS TAP 1.8 X .35 TPR TOTEM,OK,OK,KEEP,897.00,897,897.00,897.00,897.00,4,Metric Coarse,1.8 X 0.35,Standard,1,verified,
"HSS TAP 1/2"" BSB BOT TOTEM",OK,OK,KEEP,968.00,968,968.00,968.00,968.00,6,BSB,1/2,Standard,1,review,
"HSS TAP 1/2"" BSB SET TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,968.00,968,,2904.00,,6,BSB,1/2,Standard,3,review,item absent from this project's stock_items
"HSS TAP 1/2"" BSF SET TOTEM",OK,OK,KEEP,954.00,954,954.00,2862.00,2862.00,3,BSW/BSF,1/2,Standard,3,review,
"HSS TAP 1/2"" BSP BOT TOTEM",OK,OK,KEEP,2269.00,2269,2269.00,2269.00,2269.00,3,BSP,1/2,Standard,1,verified,
"HSS TAP 1/2"" BSP PAIR TOTEM",OK,OK,KEEP,2269.00,2269,2269.00,4538.00,4538.00,3,BSP,1/2,Standard,2,verified,
"HSS TAP 1/2"" BSP SEC TOTEM",OK,OK,KEEP,2269.00,2269,2269.00,2269.00,2269.00,3,BSP,1/2,Standard,1,verified,
"HSS TAP 1/2"" BSP TPR TOTEM",OK,OK,KEEP,2269.00,2269,2269.00,2269.00,2269.00,3,BSP,1/2,Standard,1,verified,
"HSS TAP 1/2"" BSPT BOT TOTEM",OK,OK,KEEP,3057.00,3057,3057.00,3057.00,3057.00,3,BSPT,1/2,Standard,1,review,
"HSS TAP 1/2"" BSPT PAIR TOTEM",OK,OK,KEEP,3057.00,3057,3057.00,6114.00,6114.00,3,BSPT,1/2,Standard,2,verified,
"HSS TAP 1/2"" BSW BOT TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,BSW/BSF,1/2,Standard,1,verified,
"HSS TAP 1/2"" BSW SEC TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,BSW/BSF,1/2,Standard,1,verified,
"HSS TAP 1/2"" BSW SET TOTEM",OK,OK,KEEP,954.00,954,954.00,2862.00,2862.00,3,BSW/BSF,1/2,Standard,3,verified,
"HSS TAP 1/2"" BSW SF SET TOTEM",OK,OK,KEEP,1000.00,1000,1000.00,3000.00,3000.00,3,BSW/BSF,1/2,SF/RS,3,verified,
"HSS TAP 1/2"" BSW TPR TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,BSW/BSF,1/2,Standard,1,verified,
"HSS TAP 1/2"" NPT BOT TOTEM",OK,OK,KEEP,3117.00,3117,3117.00,3117.00,3117.00,3,NPT,1/2,Standard,1,verified,
"HSS TAP 1/2"" NPT PAIR TOTEM",OK,OK,KEEP,3117.00,3117,3117.00,6234.00,6234.00,3,NPT,1/2,Standard,2,verified,
"HSS TAP 1/2"" NPT TPR TOTEM",OK,OK,KEEP,3117.00,3117,3117.00,3117.00,3117.00,3,NPT,1/2,Standard,1,verified,
"HSS TAP 1/2"" UNC BOT TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,UNF/UNC,1/2,Standard,1,verified,
"HSS TAP 1/2"" UNC SEC TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,UNF/UNC,1/2,Standard,1,review,
"HSS TAP 1/2"" UNC SET TOTEM",OK,OK,KEEP,954.00,954,954.00,2862.00,2862.00,3,UNF/UNC,1/2,Standard,3,verified,
"HSS TAP 1/2"" UNC TPR TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,UNF/UNC,1/2,Standard,1,review,
"HSS TAP 1/2"" UNF BOT TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,UNF/UNC,1/2,Standard,1,verified,
"HSS TAP 1/2"" UNF SEC TOTEM",OK,OK,KEEP,954.00,954,954.00,954.00,954.00,3,UNF/UNC,1/2,Standard,1,verified,
"HSS TAP 1/2"" UNF SET TOTEM",OK,OK,KEEP,954.00,954,954.00,2862.00,2862.00,3,UNF/UNC,1/2,Standard,3,verified,
"HSS TAP 1/4"" BSB BOT TOTEM",OK,OK,KEEP,417.00,417,417.00,417.00,417.00,6,BSB,1/4,Standard,1,review,
"HSS TAP 1/4"" BSF BOT TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,BSW/BSF,1/4,Standard,1,verified,
"HSS TAP 1/4"" BSF SEC TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,BSW/BSF,1/4,Standard,1,review,
"HSS TAP 1/4"" BSF SET TOTEM",OK,OK,KEEP,423.00,423,423.00,1269.00,1269.00,3,BSW/BSF,1/4,Standard,3,review,
"HSS TAP 1/4"" BSP BOT GOLD TOTEM",OK,OK,KEEP,1328.00,1328,1328.00,1328.00,1328.00,8,BSP,1/4,STD GOLD,1,review,
"HSS TAP 1/4"" BSP BOT TOTEM",OK,OK,KEEP,1023.00,1023,1023.00,1023.00,1023.00,3,BSP,1/4,Standard,1,verified,
"HSS TAP 1/4"" BSP PAIR TOTEM",OK,OK,KEEP,1023.00,1023,1023.00,2046.00,2046.00,3,BSP,1/4,Standard,2,verified,
"HSS TAP 1/4"" BSP TPR TOTEM",OK,OK,KEEP,1023.00,1023,1023.00,1023.00,1023.00,3,BSP,1/4,Standard,1,verified,
"HSS TAP 1/4"" BSPT BOT TOTEM",OK,OK,KEEP,1595.00,1595,1595.00,1595.00,1595.00,3,BSPT,1/4,Standard,1,verified,
"HSS TAP 1/4"" BSPT PAIR TOTEM",OK,OK,KEEP,1595.00,1595,1595.00,3190.00,3190.00,3,BSPT,1/4,Standard,2,verified,
"HSS TAP 1/4"" BSPT TPR TOTEM",OK,OK,KEEP,1595.00,1595,1595.00,1595.00,1595.00,3,BSPT,1/4,Standard,1,verified,
"HSS TAP 1/4"" BSW BOT TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,BSW/BSF,1/4,Standard,1,verified,
"HSS TAP 1/4"" BSW SEC MALE TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,423.00,423,,423.00,,3,BSW/BSF,1/4,Standard,1,review,item absent from this project's stock_items
"HSS TAP 1/4"" BSW SEC TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,BSW/BSF,1/4,Standard,1,verified,
"HSS TAP 1/4"" BSW SET TOTEM",OK,OK,KEEP,423.00,423,423.00,1269.00,1269.00,3,BSW/BSF,1/4,Standard,3,verified,
"HSS TAP 1/4"" BSW SF SET TOTEM",OK,OK,KEEP,447.00,447,447.00,1341.00,1341.00,3,BSW/BSF,1/4,SF/RS,3,review,
"HSS TAP 1/4"" BSW TPR TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,BSW/BSF,1/4,Standard,1,review,
"HSS TAP 1/4"" NPT BOT TOTEM",OK,OK,KEEP,1635.00,1635,1635.00,1635.00,1635.00,3,NPT,1/4,Standard,1,verified,
"HSS TAP 1/4"" NPT PAIR TOTEM",OK,OK,KEEP,1635.00,1635,1635.00,3270.00,3270.00,3,NPT,1/4,Standard,2,verified,
"HSS TAP 1/4"" UNC BOT TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,UNF/UNC,1/4,Standard,1,verified,
"HSS TAP 1/4"" UNC SEC TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,UNF/UNC,1/4,Standard,1,verified,
"HSS TAP 1/4"" UNC SET TOTEM",OK,OK,KEEP,423.00,423,423.00,1269.00,1269.00,3,UNF/UNC,1/4,Standard,3,verified,
"HSS TAP 1/4"" UNC TPR TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,UNF/UNC,1/4,Standard,1,review,
"HSS TAP 1/4"" UNF BOT TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,UNF/UNC,1/4,Standard,1,verified,
"HSS TAP 1/4"" UNF SEC TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,UNF/UNC,1/4,Standard,1,verified,
"HSS TAP 1/4"" UNF SET TOTEM",OK,OK,KEEP,423.00,423,423.00,1269.00,1269.00,3,UNF/UNC,1/4,Standard,3,verified,
"HSS TAP 1/4"" UNF SPPT TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,518.00,518,,518.00,,3,UNF/UNC,1/4,SPPT,1,review,item absent from this project's stock_items
"HSS TAP 1/4"" UNF TPR TOTEM",OK,OK,KEEP,423.00,423,423.00,423.00,423.00,3,UNF/UNC,1/4,Standard,1,verified,
"HSS TAP 1/8"" BSF BOT TOTEM",OK,OK,KEEP,407.00,407,407.00,407.00,407.00,3,BSW/BSF,1/8,Standard,1,review,
"HSS TAP 1/8"" BSP BOT TOTEM",OK,OK,KEEP,671.00,671,671.00,671.00,671.00,3,BSP,1/8,Standard,1,verified,
"HSS TAP 1/8"" BSP PAIR TOTEM",OK,OK,KEEP,671.00,671,671.00,1342.00,1342.00,3,BSP,1/8,Standard,2,verified,
"HSS TAP 1/8"" BSP TPR TOTEM",OK,OK,KEEP,671.00,671,671.00,671.00,671.00,3,BSP,1/8,Standard,1,verified,
"HSS TAP 1/8"" BSPT BOT TOTEM",OK,OK,KEEP,914.00,914,914.00,914.00,914.00,3,BSPT,1/8,Standard,1,verified,
"HSS TAP 1/8"" BSPT PAIR TOTEM",OK,OK,KEEP,914.00,914,914.00,1828.00,1828.00,3,BSPT,1/8,Standard,2,verified,
"HSS TAP 1/8"" BSPT TPR TOTEM",OK,OK,KEEP,914.00,914,914.00,914.00,914.00,3,BSPT,1/8,Standard,1,review,
"HSS TAP 1/8"" BSW BOT TOTEM",OK,OK,KEEP,407.00,407,407.00,407.00,407.00,3,BSW/BSF,1/8,Standard,1,verified,
"HSS TAP 1/8"" BSW SEC TOTEM",OK,OK,KEEP,407.00,407,407.00,407.00,407.00,3,BSW/BSF,1/8,Standard,1,review,
"HSS TAP 1/8"" BSW SET TOTEM",OK,OK,KEEP,407.00,407,407.00,1221.00,1221.00,3,BSW/BSF,1/8,Standard,3,verified,
"HSS TAP 1/8"" BSW TPR TOTEM",OK,OK,KEEP,407.00,407,407.00,407.00,407.00,3,BSW/BSF,1/8,Standard,1,review,
"HSS TAP 1/8"" NPT BOT TOTEM",OK,OK,KEEP,939.00,939,939.00,939.00,939.00,3,NPT,1/8,Standard,1,verified,
"HSS TAP 1/8"" NPT PAIR TOTEM",OK,OK,KEEP,939.00,939,939.00,1878.00,1878.00,3,NPT,1/8,Standard,2,verified,
HSS TAP 10 BA SET TOTEM,OK,OK,KEEP,953.00,953,953.00,2859.00,2859.00,3,BA,10,Standard,3,verified,
HSS TAP 10 UNC BOT TOTEM,OK,OK,KEEP,461.00,461,461.00,461.00,461.00,3,UNF/UNC,10,Standard,1,verified,
HSS TAP 10 UNC SEC TOTEM,OK,OK,KEEP,461.00,461,461.00,461.00,461.00,3,UNF/UNC,10,Standard,1,verified,
HSS TAP 10 UNC SET TOTEM,OK,OK,KEEP,461.00,461,461.00,1383.00,1383.00,3,UNF/UNC,10,Standard,3,verified,
HSS TAP 10 UNC TPR TOTEM,OK,OK,KEEP,461.00,461,461.00,461.00,461.00,3,UNF/UNC,10,Standard,1,review,
HSS TAP 10 UNF BOT TOTEM,OK,OK,KEEP,461.00,461,461.00,461.00,461.00,3,UNF/UNC,10,Standard,1,verified,
HSS TAP 10 UNF SEC TOTEM,OK,OK,KEEP,461.00,461,461.00,461.00,461.00,3,UNF/UNC,10,Standard,1,verified,
HSS TAP 10 UNF SET TOTEM,OK,OK,KEEP,461.00,461,461.00,1383.00,1383.00,3,UNF/UNC,10,Standard,3,verified,
HSS TAP 10 X 1 BOT TOTEM,OK,OK,KEEP,678.00,678,678.00,678.00,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,verified,
HSS TAP 10 X 1 PAIR TOTEM,OK,OK,KEEP,678.00,678,678.00,1356.00,1356.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,2,verified,
HSS TAP 10 X 1 SB3 TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,678.00,678,,678.00,,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,review,item absent from this project's stock_items
HSS TAP 10 X 1 SEC TOTEM,OK,OK,KEEP,678.00,678,678.00,678.00,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,verified,
HSS TAP 10 X 1 TPR TOTEM,OK,OK,KEEP,678.00,678,678.00,678.00,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,verified,
HSS TAP 10 X 1.25 6G SPPT GOLD TOTEM,,OK,ADD,,,1066.00,,1066.00,10,Metric Coarse,10.0 X 1.00/1.25,SPPT GOLD,1,review,matched by v2; not previously seeded
HSS TAP 10 X 1.25 BOT TOTEM,,OK,ADD,,,678.00,,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,verified,matched by v2; not previously seeded
HSS TAP 10 X 1.25 PAIR TOTEM,,OK,ADD,,,678.00,,1356.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,2,verified,matched by v2; not previously seeded
HSS TAP 10 X 1.25 SEC TOTEM,,OK,ADD,,,678.00,,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,verified,matched by v2; not previously seeded
HSS TAP 10 X 1.25 TPR TOTEM,,OK,ADD,,,678.00,,678.00,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,verified,matched by v2; not previously seeded
HSS TAP 10 X 1.5 6G SPPT GOLD TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,855.00,855,,855.00,,9,Metric Coarse,10.0 X 1.50,SPPT GOLD,1,review,item absent from this project's stock_items
HSS TAP 10 X 1.5 BOT TOTEM,OK,OK,KEEP,609.00,609,609.00,609.00,609.00,4,Metric Coarse,10.0 X 1.50,Standard,1,verified,
HSS TAP 10 X 1.5 S TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,609.00,609,,609.00,,4,Metric Coarse,10.0 X 1.50,Standard,1,review,item absent from this project's stock_items
HSS TAP 10 X 1.5 SEC TOTEM,OK,OK,KEEP,609.00,609,609.00,609.00,609.00,4,Metric Coarse,10.0 X 1.50,Standard,1,verified,
HSS TAP 10 X 1.5 SET GOLD TOTEM,OK,OK,KEEP,711.00,711,711.00,2133.00,2133.00,9,Metric Coarse,10.0 X 1.50,STD GOLD,3,review,
HSS TAP 10 X 1.5 SET TOTEM,OK,OK,KEEP,609.00,609,609.00,1827.00,1827.00,4,Metric Coarse,10.0 X 1.50,Standard,3,verified,
HSS TAP 10 X 1.5 SET XL GOLD TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,711.00,711,,2133.00,,9,Metric Coarse,10.0 X 1.50,STD GOLD,3,review,item absent from this project's stock_items
HSS TAP 10 X 1.5 SF SET GOLD TOTEM,OK,OK,KEEP,711.00,711,711.00,2133.00,2133.00,9,Metric Coarse,10.0 X 1.50,STD GOLD,3,review,
HSS TAP 10 X 1.5 SF SET TOTEM,OK,OK,KEEP,647.00,647,647.00,1941.00,1941.00,4,Metric Coarse,10.0 X 1.50,SF/RS,3,verified,
HSS TAP 10 X 1.5 SPPT GOLD TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,855.00,855,,855.00,,9,Metric Coarse,10.0 X 1.50,SPPT GOLD,1,review,item absent from this project's stock_items
HSS TAP 10 X 1.5 SPPT TOTEM,OK,OK,KEEP,747.00,747,747.00,747.00,747.00,4,Metric Coarse,10.0 X 1.50,SPPT,1,verified,
HSS TAP 10 X 1.5 TPR TOTEM,OK,OK,KEEP,609.00,609,609.00,609.00,609.00,4,Metric Coarse,10.0 X 1.50,Standard,1,verified,
HSS TAP 10BA BOT TOTEM,,OK,ADD,,,953.00,,953.00,3,BA,10,Standard,1,review,matched by v2; not previously seeded
HSS TAP 11 X 1 BOT TOTEM,OK,OK,KEEP,1196.00,1196,1196.00,1196.00,1196.00,5,Metric Coarse,11.0 X 1.00/1.25,Standard,1,verified,
HSS TAP 11 X 1 PAIR TOTEM,OK,OK,KEEP,1196.00,1196,1196.00,2392.00,2392.00,5,Metric Coarse,11.0 X 1.00/1.25,Standard,2,review,
HSS TAP 11 X 1 SEC TOTEM,OK,OK,KEEP,1196.00,1196,1196.00,1196.00,1196.00,5,Metric Coarse,11.0 X 1.00/1.25,Standard,1,review,
